text,label
"Kedai teh ini dimiliki oleh para pengusaha pabrik. tahu bahwa selama beberapa dekade ini terkenal karena membuat tahu putih di perapian. kualitasnya, dicampur dengan keterampilan memasak, dikombinasikan dengan kretivitas, itu adalah kios yang menyajikan menu tofu besar, ditambah menu umum lainnya seperti ayam.",0
meminta para sarjana lurus dan k212 mmbri memahami partai apa untuk menulis sehingga suara Islam tidak istirahat,1
"lokasi strategis di Sumatra Road tempatnya nyaman terutama sofanya di lantai dua paella nya enak, jadi makan dengan bir dingin",0
"Alangkah bahagianya dia ketika ia membuka kotak paket dan barang-barang yang baik, berangkat untuk membeli lagi!",0
"Jangan sombong, berikan kartu kuningnya.",2
"Berbagai makanan, harga makanan pada instalasi makanan akan ditambahkan 10 lebih % di kasir register, suasana yang ramai dan membutuhkan perhatian untuk mendapatkan parkir dan tempat duduk.",0
"Menggunakan kartu kredit, itu tidak layak.",2
"Ini adalah tempat yang unik, gambar yang bagus, makanan yang enak, enak, enak, enak, enak, enak, enak, enak, enak, enak, bersih, dan enak, wifi yang cepat, harga standar dan sesuai dengan tempatnya.",0
"aku bersama keluargaku baru saja menikmati pengalaman yang menyenangkan di rm sari sunda di jalanan loyalbudhi, redup tapi, karena tidak ada hubungan untuk rm sari sunda di jalanan loyalbudhi, maka biarkan aku menuliskannya di sini jadi, maafkan aku jika salah satu rekan pembacamu bingung",0
Terima kasih.,0
Symcard insinit inactiv karena melupakan denyut nadi dan berita aktif.,2
Kecemburuan sering kali muncul dalam diri orang - orang yang tidak memiliki tujuan hidup.,2
"Hanya untuk memberitahu Anda tentang pengalaman saya. memesan steak panggang 200, bukan 200 steak dalam 2 potong.",0
"Dalam pengalaman sint hari ini bersama, semoga tidak terjadi pada pelanggan lain sementara mereka marah dengan layanan pelanggan.",2
Anak-anak hari ini sulit untuk khawatir.,2
Hanya berurusan dengan masalah seperti ini password Anies tidak begitu baik mana saja begitu banyak petugas kebersihan?,2
Setiap gelandangan dibentuk dengan uu bukan terbentuk dengan uu.,1
"Setelah puas dengan bermain dalam rantai studio trans, teman-teman saya dan saya setuju untuk makan ayam kakek di sini. ayam selalu lezat dan juicy!",0
Bakso dan batu bata sudah cukup selalu ada banyak pengunjung buka sekitar jam 10 pagi dari jalan Riau ke jalan yani ada sisi kiri jalan di sekitar jalan anggrek.,0
Sgwr 2018 berdampak positif pada hobi anak-anak,0
"Berada di lapisan yang indah, pemandangan yang indah, udara yang dingin, set restorasi yang bagus, dilengkapi dengan makanan yang sangat lezat pilihan dari berbagai menu dan minuman lengkap lingkungan untuk makan bersama dengan pasangan, untuk membawa keluarga atau untuk bersama teman-teman.",0
"Cepat istirahat di sini minggu lalu, sopir yang melayani tempat ini makanan di sini lezat dan harganya luas dan indah. rekomendasinya terlalu banyak untuk makan di sini untuk mencicipi Sundas makanan asli di Indonesia.",0
"Aku suka menonton kartun, tomat keluarga Indonesia.",0
Untuk teman-teman mengunjungi sundris dapat berhenti di anjish kopi untuk makan sesuatu yang tidak terlalu berat.,0
"Di restoran ini, saya dan keluarga saya makan malam terakhir kami di tribun kami memiliki delapan orang dan ketika itu hanya sekitar 400, itu benar-benar murah.",0
"Terima kasih Tuhan kau tidak pergi ke jalan hari ini itu agak marah bahwa setiap hari ia berlalu sempit, itu adalah dua cara, itu terjebak ini adalah makanan sehari-hari",2
"Tanggapannya agak tua, sama seperti sayang Remnya tidak asli, masih rom distrobitor",2
Lokasi dengan lanskap masih alami dan indah atmosfer juga dingin dan tenang hanya banyak nyamuk dan harga makanan yang relatif mahal.,0
Ini adalah apa yang kita telah diberitahu untuk menang karena kita berpakaian merah.,1
Malulah karena kau tak bertanggung jawab.,2
Makan siang di sini juga menyenangkan.,2
