text,label
"Restoran ini telah menjadi milik seorang pengusaha yang selama puluhan tahun telah memperkenalkan orang kulit putih dalam sebuah kelompok dia tahu kualitas, kualitas, dapur, seni memasak, dan dia melayani menu utama, lebih banyak menu umum seperti ayam semua selera intonia harga tidak cukup terjangkau",0
"Tolong, lakukan hal yang benar dan jangan rusak suara Islam.",1
"Tempat strategis Bandung Street, terutama sofa lantai dua, paellanya sangat enak, sangat enak untuk dimakan dengan bir dingin.",0
Betapa senangnya berada di sini ketika Anda hanya memiliki satu paket dan itu bagus!,0
"Jadi, siswa, jangan sombong, beri aku kartu kuningmu.",2
"Makanan bervariasi, harga makanan ditambahkan 10 persen lebih banyak di dalam kotak, atmosfer penuh sesak, dan perlu perhatian untuk parkir dan duduk.",0
Penggunaan kartu kredit tidak ada gunanya.,2
"Ini adalah tempat yang unik, baik untuk foto-foto, makanan yang baik, perusahaan yang baik, kebersihan, dan kelengkapan. harga standar adalah makanan tradisional, dan ada dapur Barat dan India. menu favorit Lyche mojito dan spaggeti adalah menu favorit dari liche mojito dan spagheti.",0
"Keluarga saya dan saya baru saja menikmati pengalaman yang indah dari sari sunda di jalan, dan saya sangat menyukai restoran ini, tapi, karena tidak ada hubungan dengan sunda di jalan.",0
Terima kasih.,0
"Simcard kektiv karena aku lupa isi dari impuls dan berita aktif. jika pinda di postfinance, itu terlalu lama.",2
Kecemburuan sering terlihat pada orang - orang yang tidak mempunyai tujuan dalam kehidupan.,2
aku baru saja menceritakan pengalamanku pesan yang aku pesan untuk steak 200 tidak digunakan dalam dua bagian dari 100 tapi kualitas daging nya tidak membuatku ingin memesan menu khusus Sirloin karena lemak nya terlalu besar untuk steak tapi masih ada menu lain yang sangat melekat pada lidahku aku sarankan untuk membeli keju atau keju,0
"Hari ini, kuharap itu tidak terjadi pada klien lain, sampai mereka marah dengan pelayanan pelanggan.",2
Anak-anak hari ini sulit untuk berhati-hati.,2
aku hanya memecahkan masalah seperti itu kodenya tidak berhasil kemana pasukan pembersih pergi?,2
Setiap bumin dilatih dengan uu bukannya dibentuk oleh uu.,1
"Setelah bermain di studio, saya setuju dengan teman-teman saya untuk makan ayam kakek di sini ayamnya selalu enak dan lezat!",0
aku pikir daging dan batu bata cukup banyak selalu ada banyak pengunjung buka sekitar jam 10 pagi,0
Sgwr 2018 memiliki efek positif pada hobi anak-anak.,0
"Ini di langit, pemandangan, udara segar, restoran yang bagus, dengan makanan yang sangat enak, pilihan menu dan minuman lengkap, lingkungan yang ideal untuk makan bersama pasangan, mendapatkan keluarga, atau bersama teman, tempat parkir yang besar, restoran terbuka ini membuat udara segar.",0
"Dia membuka puasa di sini minggu lalu, Pak sopir yang menaruh makanan di sini adalah baik dan harganya besar dan indah.",0
Aku suka menonton kartun keluarga Tn. Tomat.,0
"Untuk teman-teman yang datang ke Bandung, kita bisa mampir ke kafe Anjis untuk makan makanan ringan.",0
"Di restoran ini, saya dan keluarga saya memiliki makan malam terakhir di kelompok kami delapan, dan ketika hanya 400 tahun yang lalu, itu benar-benar murah, sampai makanan menjadi begitu baik.",0
"Alhamdullah hari ini tidak pergi ke jalan bugel sedikit marah juga tidak jika setiap hari pergi ke sana sedikit lebih sempit, dalam kedua cara, lalu lintas menjadi makanan sehari-hari.",2
"Jawabannya agak panjang, tapi remnya tidak asli.",2
"Tempat dengan alam dan keindahan, atmosfer juga segar dan tenang, hanya saja ada banyak nyamuk dan harga makanan relatif mahal.",0
Ini disebut kemenangan untuk kostum merah.,1
Kau tak malu bertanggung jawab.,2
"Makan siang di sini juga menyenangkan meskipun musik sunda-nya kadang-kadang adalah musik sunda peran. tapi sayangnya, pesan kopinya yang lama datang berkali-kali, ya, Sir, hampir satu jam dan ketika kopi tidak panas tapi kopi, apakah itu ciri dari kopi di sini jika dingin.",2
"Sebuah steak di sebuah tong sudah lama, sampai ia membuka cabang di kolam, tempat di atap ini lebih besar, tempat parkir tidak sesulit milik loyalibiudi.",0
"Presiden Ri dan timnya di pintu masuk 2, terminal 3 disambut oleh Menteri Hubungan, Menteri Bummn, Gubernur Binten, kepala stasiun, kepala perusahaan, panggilan telepon, panggilan telepon, panggilan, penahanan PT kami, dan penutupan Railink.",1
Makanan tradisional yang selalu terasa stabil dari tulang rusuk asam dan steak Java.,0
"Sejauh ini, saya pikir batu bata ini masih menjadi batu bata terbaik di kota Bandung yang pernah saya coba.",0
"Bau yang ada saat kau makan di atas daun pisang, ya, bahkan jika itu adalah tempat yang penuh sesak, itu selalu terjadi padaku.",0
"Pada akhir tahun lalu, saya dan keluarga saya berjalan ke depan, dan kami tidak sengaja berhenti untuk makan di restoran ini. suasananya nyaman, pelayanannya begitu lembut dan berlebihan, kami puas. makanan yang disajikan sebagai makanan di restoran umum, tapi yang membuat perbedaan adalah stroberi dan kecanduan.",0
The rigma meninggalkan pilihannya pada pygmé 2018 ini.,1
"Ini adalah pengalaman yang cukup menarik, makan tanpa piring, tetapi hanya dengan karpet daun, itu semakin menyenangkan. makanan sunda sangat menarik dan sangat baik. sarannya: jangan terbawa emosi dan perintah dan memilih semua makanan yang disediakan secara umum ketika Anda melihat segala macam hal. Pilihlah apa yang Anda butuhkan.",0
"Makanannya enak, suasananya nyaman, harganya sama dengan tempat lain, restoran ini punya empat konsep.",0
"Ini adalah tempat makan yang menyatukan konsep alami dan budaya di daerah ini bahkan dalam kompleks perumahan, tapi cukup besar untuk memiliki 20 makanan / tempat makan yang lebih besar kualitas makanan yang baik dan ada suara air terjun di sana membuat atmosfer sangat nyaman untuk dimakan.",0
"Ketika dia datang ke sini untuk memesan nasi goreng dan kentang goreng, nasi gorengnya adalah segalanya yang dia suka kentang gorengnya enak, dan presentasinya enak.",0
"Ada banyak makanan sunda di kota Bandung, tapi saya tidak tahu mengapa saya begitu mencintai sebuah restoran. ibu dari Imas yang dekat dengan tempat Bandung menawarkan restoran sunda dengan karakter beras kuno di mana kita dapat mengambil semua makanan di depan kita tanpa harus melewati proses yang biasa kita temui di restoran.",0
tolong bantu aku aku tidak bisa masuk tidak ada surat perintah atau nomor panggilan,1
"Makanan baru, burger keju baru.",0
tumpukan bambu ini baru di Bandung tempat terdekat adalah almaster ku itu membuatku bisa menemukan tempat ini pemandangannya bagus,0
Tidak masuk akal.,2
Katakan saja kau hanya seorang Betawi!,2
"Kopi ini memberikan rasa makanan dalam gelap ini cukup unik, tapi lebih dari sekali, sepertinya orang jarang kembali itu menarik untuk dicoba",2
"Menurut namanya, setengah awie, restoran ini menyediakan menu daging babi, dan selain aku, ada pilihan lain selain nasi goreng, cakar kentang goreng, roti isi, kacang, dan lainnya.",0
Kemenangan di media sosial akan selalu menjadi kemenangan di dunia nyata.,1
